point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di
U12,6/20/2006,4.47,760,524,23.9,597,796,24.2,20.2
U127,6/20/2006,5.01,760,524,23.9,597,796,24.2,26.43
U141,6/20/2006,4.62,760,524,23.9,597,796,24.2,14.68
U161,6/20/2006,4.43,760,524,23.9,597,796,24.2,5.76
U162,6/20/2006,3.28,760,524,23.9,597,796,24.2,43.96
U163,6/20/2006,3.78,760,524,23.9,597,796,24.2,0
U164,6/20/2006,3.82,760,524,23.9,597,796,24.2,6.79
U167,6/20/2006,4.38,760,524,23.9,597,796,24.2,9.19
U201,6/20/2006,5.31,760,524,23.9,597,796,24.2,61.72
U95,6/20/2006,5.24,760,524,23.9,597,796,24.2,33.79
U12,5/24/2007,6.16,2310,669,13.5,796,996,16.35,20.2
U127,5/24/2007,6.3,2310,669,13.5,796,996,16.35,26.43
U141,5/24/2007,5.88,2310,669,13.5,796,996,16.35,14.68
U161,5/24/2007,,2310,669,13.5,796,996,16.35,5.76
U162,5/24/2007,6.83,2310,669,13.5,796,996,16.35,43.96
U163,5/24/2007,5.68,2310,669,13.5,796,996,16.35,0
U164,5/24/2007,5.47,2310,669,13.5,796,996,16.35,6.79
U167,5/24/2007,5.89,2310,669,13.5,796,996,16.35,9.19
U201,5/24/2007,7.06,2310,669,13.5,796,996,16.35,61.72
U95,5/24/2007,6.72,2310,669,13.5,796,996,16.35,33.79
U12,10/11/2007,9.02,160,995,15.1,429,1290,14.9,20.2
U127,10/11/2007,10.1,160,995,15.1,429,1290,14.9,26.43
U141,10/11/2007,9.43,160,995,15.1,429,1290,14.9,14.68
U161,10/11/2007,9.5,160,995,15.1,429,1290,14.9,5.76
U162,10/11/2007,7.96,160,995,15.1,429,1290,14.9,43.96
U163,10/11/2007,9.98,160,995,15.1,429,1290,14.9,0
U164,10/11/2007,8.46,160,995,15.1,429,1290,14.9,6.79
U167,10/11/2007,9.74,160,995,15.1,429,1290,14.9,9.19
U201,10/11/2007,8.36,160,995,15.1,429,1290,14.9,61.72
U95,10/11/2007,8.86,160,995,15.1,429,1290,14.9,33.79
U12,3/20/2008,12.5,459,935,10.3,45,2780,11.25,20.2
U127,3/20/2008,13.4,459,935,10.3,45,2780,11.25,26.43
U141,3/20/2008,11.8,459,935,10.3,45,2780,11.25,14.68
U161,3/20/2008,10.2,459,935,10.3,45,2780,11.25,5.76
U162,3/22/2008,12.6,322,870,9.17,48,2710,9.6,43.96
U163,3/20/2008,10.4,459,935,10.3,45,2780,11.25,0
U164,3/20/2008,10.2,459,935,10.3,45,2780,11.25,6.79
U167,3/20/2008,11,459,935,10.3,45,2780,11.25,9.19
U201,3/22/2008,14,322,870,9.17,48,2710,9.6,61.72
U95,3/20/2008,14.9,459,935,10.3,45,2780,11.25,33.79
U12,6/26/2008,3.8,1530,456,21.4,646,931,24.25,20.2
U127,6/26/2008,3.84,1530,456,21.4,646,931,24.25,26.43
U141,6/26/2008,3.76,1530,456,21.4,646,931,24.25,14.68
U161,6/26/2008,3.74,1530,456,21.4,646,931,24.25,5.76
U162,6/26/2008,,1530,456,21.4,646,931,24.25,43.96
U163,6/26/2008,,1530,456,21.4,646,931,24.25,0
U164,6/26/2008,3.63,1530,456,21.4,646,931,24.25,6.79
U167,6/26/2008,3.87,1530,456,21.4,646,931,24.25,9.19
U201,6/26/2008,5.18,1530,456,21.4,646,931,24.25,61.72
U95,6/26/2008,4.88,1530,456,21.4,646,931,24.25,33.79
U12,8/14/2008,4.48,560,559,22.5,690,1050,23.5,20.2
U127,8/14/2008,5.18,560,559,22.5,690,1050,23.5,26.43
U141,8/14/2008,5.01,560,559,22.5,690,1050,23.5,14.68
U161,8/14/2008,4.92,560,559,22.5,690,1050,23.5,5.76
U162,8/14/2008,5.99,560,559,22.5,690,1050,23.5,43.96
U163,8/14/2008,5.55,560,559,22.5,690,1050,23.5,0
U164,8/14/2008,4.28,560,559,22.5,690,1050,23.5,6.79
U167,8/14/2008,5.24,560,559,22.5,690,1050,23.5,9.19
U201,8/14/2008,6.42,560,559,22.5,690,1050,23.5,61.72
U95,8/14/2008,5.85,560,559,22.5,690,1050,23.5,33.79
U12,1/17/2009,13.5,162,1500,3.56,122,2370,4.25,20.2
U127,1/17/2009,16.1,162,1500,3.56,122,2370,4.25,26.43
U141,1/17/2009,14.2,162,1500,3.56,122,2370,4.25,14.68
U161,1/17/2009,13.8,162,1500,3.56,122,2370,4.25,5.76
U162,1/17/2009,,162,1500,3.56,122,2370,4.25,43.96
U163,1/17/2009,16.9,162,1500,3.56,122,2370,4.25,0
U164,1/17/2009,13.9,162,1500,3.56,122,2370,4.25,6.79
U167,1/17/2009,13.3,162,1500,3.56,122,2370,4.25,9.19
U201,1/17/2009,12.4,162,1500,3.56,122,2370,4.25,61.72
U95,1/17/2009,15.1,162,1500,3.56,122,2370,4.25,33.79
U12,5/14/2009,7.46,994,692,16.1,473,1190,17.7,20.2
U127,5/14/2009,7.86,994,692,16.1,473,1190,17.7,26.43
U141,5/14/2009,7.57,994,692,16.1,473,1190,17.7,14.68
U161,5/14/2009,7.5,994,692,16.1,473,1190,17.7,5.76
U162,5/14/2009,8.76,994,692,16.1,473,1190,17.7,43.96
U163,5/14/2009,7.54,994,692,16.1,473,1190,17.7,0
U164,5/14/2009,7.17,994,692,16.1,473,1190,17.7,6.79
U167,5/14/2009,8.1,994,692,16.1,473,1190,17.7,9.19
U201,5/14/2009,9.16,994,692,16.1,473,1190,17.7,61.72
U95,5/14/2009,8.64,994,692,16.1,473,1190,17.7,33.79
U12,7/22/2009,5.14,639,728,22.1,295,1510,24.1,20.2
U127,7/22/2009,5.31,639,728,22.1,295,1510,24.1,26.43
U141,7/22/2009,6.4,639,728,22.1,295,1510,24.1,14.68
U161,7/22/2009,15,639,728,22.1,295,1510,24.1,5.76
U162,7/22/2009,7.22,639,728,22.1,295,1510,24.1,43.96
U163,7/22/2009,,639,728,22.1,295,1510,24.1,0
U164,7/22/2009,5.58,639,728,22.1,295,1510,24.1,6.79
U167,7/22/2009,7.31,639,728,22.1,295,1510,24.1,9.19
U201,7/22/2009,7.83,639,728,22.1,295,1510,24.1,61.72
U95,7/22/2009,6.88,639,728,22.1,295,1510,24.1,33.79
U12,11/20/2009,11,386,1250,5.77,200,-999,6.25,20.2
U127,11/20/2009,15.6,386,1250,5.77,200,-999,6.25,26.43
U141,11/20/2009,12.6,386,1250,5.77,200,-999,6.25,14.68
U161,11/20/2009,11.1,386,1250,5.77,200,-999,6.25,5.76
U162,11/20/2009,,386,1250,5.77,200,-999,6.25,43.96
U163,11/20/2009,13.8,386,1250,5.77,200,-999,6.25,0
U164,11/20/2009,11.4,386,1250,5.77,200,-999,6.25,6.79
U167,11/20/2009,11.7,386,1250,5.77,200,-999,6.25,9.19
U201,11/20/2009,12,386,1250,5.77,200,-999,6.25,61.72
U95,11/20/2009,13.9,386,1250,5.77,200,-999,6.25,33.79
U12,3/20/2010,11.2,317,1110,5.36,77,2420,7.1,20.2
U127,3/20/2010,11,317,1110,5.36,77,2420,7.1,26.43
U141,3/20/2010,11.4,317,1110,5.36,77,2420,7.1,14.68
U161,3/18/2010,11.2,332,1070,10.3,80,2570,10.55,5.76
U162,3/19/2010,,296,1080,6.59,79,2540,6.15,43.96
U163,3/18/2010,10.4,332,1070,10.3,80,2570,10.55,0
U164,3/18/2010,10.6,332,1070,10.3,80,2570,10.55,6.79
U167,3/18/2010,,332,1070,10.3,80,2570,10.55,9.19
U201,3/19/2010,12.5,296,1080,6.59,79,2540,6.15,61.72
U95,3/19/2010,12.4,296,1080,6.59,79,2540,6.15,33.79
U12,5/16/2010,,496,892,17.9,314,1700,17.55,20.2
U127,5/16/2010,8.62,496,892,17.9,314,1700,17.55,26.43
U141,5/16/2010,6.88,496,892,17.9,314,1700,17.55,14.68
U161,5/16/2010,9.4,496,892,17.9,314,1700,17.55,5.76
U163,5/16/2010,7.78,496,892,17.9,314,1700,17.55,0
U164,5/16/2010,9.22,496,892,17.9,314,1700,17.55,6.79
U167,5/16/2010,9.8,496,892,17.9,314,1700,17.55,9.19
U201,5/16/2010,9.16,496,892,17.9,314,1700,17.55,61.72
U12,7/20/2010,9.46,334,776,25.1,69,2430,24.8,20.2
U127,7/19/2010,7.89,304,749,25.4,68,-999,23.9,26.43
U141,7/19/2010,8.81,304,749,25.4,68,-999,23.9,14.68
U161,7/19/2010,,304,749,25.4,68,-999,23.9,5.76
U162,7/20/2010,9.71,334,776,25.1,69,2430,24.8,43.96
U163,7/19/2010,5.71,304,749,25.4,68,-999,23.9,0
U164,7/19/2010,6.83,304,749,25.4,68,-999,23.9,6.79
U167,7/19/2010,8.24,304,749,25.4,68,-999,23.9,9.19
U201,7/20/2010,12,334,776,25.1,69,2430,24.8,61.72
U209,7/20/2010,10.8,334,776,25.1,69,2430,24.8,52.81
U95,7/20/2010,10.8,334,776,25.1,69,2430,24.8,33.79
U12,8/12/2010,7.05,606,797,24.5,358,1380,25.25,20.2
U127,8/12/2010,7.49,606,797,24.5,358,1380,25.25,26.43
U141,8/12/2010,6.72,606,797,24.5,358,1380,25.25,14.68
U161,8/12/2010,6.5,606,797,24.5,358,1380,25.25,5.76
U162,8/12/2010,7.79,606,797,24.5,358,1380,25.25,43.96
U163,8/10/2010,5.36,989,848,23.6,263,1620,25.35,0
U164,8/11/2010,5.65,785,788,24.5,303,1590,25.3,6.79
U167,8/11/2010,6.92,785,788,24.5,303,1590,25.3,9.19
U201,8/12/2010,7.9,606,797,24.5,358,1380,25.25,61.72
U209,8/12/2010,7.84,606,797,24.5,358,1380,25.25,52.81
U163.5,11/19/2010,12.1,291,1250,7.14,129,1820,7.6,2.27
U12,11/19/2010,12.3,291,1250,7.14,129,1820,7.6,20.2
U127,11/22/2010,15.3,307,1220,5.71,119,2110,6.4,26.43
U141,11/19/2010,14,291,1250,7.14,129,1820,7.6,14.68
U161,11/19/2010,12.6,291,1250,7.14,129,1820,7.6,5.76
U162,11/18/2010,13.4,291,1250,5.71,134,1740,5.65,43.96
U163,11/19/2010,13.5,291,1250,7.14,129,1820,7.6,0
U164,11/19/2010,11.7,291,1250,7.14,129,1820,7.6,6.79
U167,11/19/2010,13.5,291,1250,7.14,129,1820,7.6,9.19
U201,11/20/2010,12.9,297,1240,6.62,128,1880,7.4,61.72
U209,11/20/2010,13.3,297,1240,6.62,128,1880,7.4,52.81
U95,11/20/2010,14.1,297,1240,6.62,128,1880,7.4,33.79
U163.5,3/9/2011,13.9,36.8,1440,7.35,158,1570,6.1,2.27
U12,3/9/2011,14.4,36.8,1440,7.35,158,1570,6.1,20.2
U127,3/9/2011,13.5,36.8,1440,7.35,158,1570,6.1,26.43
U141,3/9/2011,14.7,36.8,1440,7.35,158,1570,6.1,14.68
U161,3/9/2011,13.8,36.8,1440,7.35,158,1570,6.1,5.76
U162,3/9/2011,13.1,36.8,1440,7.35,158,1570,6.1,43.96
U163,3/9/2011,13.9,36.8,1440,7.35,158,1570,6.1,0
U164,3/9/2011,14.1,36.8,1440,7.35,158,1570,6.1,6.79
U167,3/9/2011,14.7,36.8,1440,7.35,158,1570,6.1,9.19
U201,3/9/2011,13.3,36.8,1440,7.35,158,1570,6.1,61.72
U209,3/9/2011,,36.8,1440,7.35,158,1570,6.1,52.81
U95,3/9/2011,14.1,36.8,1440,7.35,158,1570,6.1,33.79
U163.5,5/20/2011,7.58,433,736,16.4,30,2620,17.7,2.27
U163.5,5/20/2011,7.58,433,736,16.4,30,2620,17.7,2.27
U163.5,5/20/2011,7.58,433,736,16.4,30,2620,17.7,2.27
U163.5,5/20/2011,7.58,433,736,16.4,30,2620,17.7,2.27
U12,5/20/2011,8.79,433,736,16.4,30,2620,17.7,20.2
U127,5/20/2011,9.65,433,736,16.4,30,2620,17.7,26.43
U141,5/20/2011,9.73,433,736,16.4,30,2620,17.7,14.68
U161,5/20/2011,8.6,433,736,16.4,30,2620,17.7,5.76
U162,5/20/2011,10.9,433,736,16.4,30,2620,17.7,43.96
U163,5/20/2011,8.07,433,736,16.4,30,2620,17.7,0
U164,5/20/2011,8.07,433,736,16.4,30,2620,17.7,6.79
U167,5/20/2011,9.55,433,736,16.4,30,2620,17.7,9.19
U201,5/20/2011,13.4,433,736,16.4,30,2620,17.7,61.72
U209,5/20/2011,10.1,433,736,16.4,30,2620,17.7,52.81
U95,5/20/2011,10.7,433,736,16.4,30,2620,17.7,33.79
