"date","cse","q.in","ec.in","t.in","q.out","ec.out","t.out","q.x"
"2006-06-20",NA,760,0.524,23.9,597,0.796,24.2,6.3
"2007-05-24",7.84,2310,0.669,13.5,796,0.996,16.35,23
"2007-10-11",10.9,160,0.995,15.1,429,1.29,14.9,13
"2008-03-20",12.6,459,0.935,10.3,45,2.78,11.25,14
"2008-06-26",8.98,1530,0.456,21.4,646,0.931,24.25,18
"2008-08-14",19.6,560,0.559,22.5,690,1.05,23.5,32
"2009-01-17",14.6,162,1.5,3.56,122,2.37,4.25,3.7
"2009-05-14",10.2,994,0.692,16.1,473,1.19,17.7,10
"2009-07-22",9.37,639,0.728,22.1,295,1.51,24.1,12
"2009-11-20",13.4,386,1.25,5.77,200,NA,6.25,5.9
"2010-03-20",11,317,1.11,5.36,77,2.42,7.1,22
"2010-05-16",9.97,496,0.892,17.9,314,1.7,17.55,22
"2010-07-20",9.79,334,0.776,25.1,69,2.43,24.8,17
"2010-08-12",7.75,606,0.797,24.5,358,1.38,25.25,27
"2010-11-21",15.4,300,1.2,6.16,118,1.97,6.85,5.26
"2011-03-09",11.5,36.8,1.44,7.35,158,1.59,6.1,4.41
"2011-05-20",17,433,0.736,16.4,30,2.62,17.7,12.2
"2011-07-11",6.62,1860,0.402,21.9,526,0.791,24.9,21.8
